-5.89139	-1	-5.89139	11.4739	-0.298451	
-5.89139	-1	-5.30225	11.4739	-0.298451	
-5.89139	-1	-4.77202	11.4739	-0.296706	
-5.89139	-1	-4.29482	11.4739	-0.298451	
-5.89139	-1	-3.86534	11.4739	-0.298451	
-5.89139	-1	-3.4788	11.4738	-0.298451	
-5.89139	-1	-3.13092	11.4739	-0.298451	
-5.89139	-1	-2.81783	11.4739	-0.298451	
-5.89139	-1	-2.53605	11.4739	-0.298451	
-5.89139	-1	-2.28244	11.4738	-0.298451	
-5.89139	-1	-2.0542	11.4738	-0.298451	
-5.89139	-1	-1.84878	11.4739	-0.298451	
-5.89139	-1	-1.6639	11.4739	-0.298451	
-5.89139	-1	-1.49751	11.4738	-0.298451	
-5.89139	-1	-1.34776	11.4739	-0.298451	
-5.89139	-1	-1.21298	11.4739	-0.298451	
-5.89139	-1	-1.09169	11.4738	-0.298451	
-5.89139	-1	-0.982517	11.4739	-0.298451	
-5.89139	-1	-0.884265	11.4739	-0.298451	
-5.89139	-1	-0.795839	11.4739	-0.298451	
-5.89139	-1	-0.716255	11.4739	-0.298451	
